texto_limpo,sentimento,Query
"Eu peço desculpas a torcida do Corinthians. Foda se a torcida do Corinthians imbecil, você está defendendo as cores do teu país. Impressionante que absolutamente tudo que vem de Itaquera não presta.",Negativo,Corinthians
"Nova invenção do Corinthians rapaziada, o ensaio fotográfico",Neutro,Corinthians
UM MÊS SEM O CORINTHIANS JOGAR finalmente paz,Positivo,Corinthians
"Hugo Souza, goleiro do Corinthians, sobre a postagem que fez com a camisa da seleção brasileira em preto e branco Aboli o verde da minha vida. Eu fiz postagens mescladas, em preto e branco e com a camisa de treino da Seleção. Desde que cheguei ao Corinthians, aboli o verde",Neutro,Corinthians
"TOMA VERGONHA NA CARA, GREMISTA SAFADO. Como que pede pênalti em um lance claramente fora da área?",Negativo,Corinthians
Grêmio x Corinthians para um público de pouco mais de 20 mil! Agência IDC Corinthians Grêmio,Neutro,Corinthians
"Falou sobre nomeações! Durante a manifestação dos associados no Parque São Jorge neste sábado 14, o presidente interino do Corinthians, Osmar Stábile, comentou sobre as recentes nomeações de funcionários antigos. Confira",Neutro,Corinthians
,Neutro,Corinthians
"Falou sobre contratações! Durante a manifestação dos associados no Parque São Jorge neste sábado 14, o presidente interino do Corinthians, Osmar Stábile, revelou já ter conversas com o treinador Dorival Júnior sobre possíveis novas contratações. O presidente ainda",Neutro,Corinthians
Yuri Alberto faz tratamento para curar lesão durante as férias do Corinthians,Neutro,Corinthians
Torcedores e associados pedem a separação do CNPJ do clube com o futebol do Corinthians. Apoio - Jogue com responsabilidade 18,Neutro,Corinthians
Mais um empate do Corinthians,Neutro,Corinthians
Corinthians Posso entrá? Conmebol,Neutro,Corinthians
"A estética da Arena Corinthians é a melhor do Brasil, dá GOSTO de ver partidas nesse estádio.",Positivo,Corinthians
"GRAVÍSSIMO! Se isso aqui é contra o Corinthians seria marcado PÊNALTI sem o VAR Como é a favor do Grêmio, eles nem cogitam olhar e mandam o jogo seguir. É uma PIADA!",Negativo,Corinthians
sempre ele andré ramalho,Neutro,Corinthians
"Do nada, apareceu essa pedrada aqui Fluminense x Corinthians, quem deixou de ir nesse dia, se arrependeu amargamente, ali foi a despedida de Fred como artilheiro do Fluminense",Neutro,Corinthians
"Nasceu a filha do zagueiro Murillo, do Nottingham Forest e revelado pelo Corinthians.",Neutro,Corinthians
BRENO BIDON! GRÊMIO 1-1 CORINTHIANS!,Neutro,Corinthians
puro suco da torcida mais insuportável e a do Corinthians em uma imagem,Negativo,Corinthians
Pq a homofobia do Corinthians é punida com portões fechados e a do Palmeiras é uma multa?,Negativo,Corinthians
Corinthians busca reserva para Garro. Corte do Canal Time do Povo no YouTube,Neutro,Corinthians
O Giannis mandou um Vai Corinthians!,Positivo,Corinthians
"Therefore, whether you eat or drink, or whatever you do, do all to the glory of God. 1 Corinthians 1031",Neutro,Corinthians
Hugo Souza projeta o Corinthians disputando o topo da tabela no Brasileirão. Record,Neutro,Corinthians
Esse é o Memphis Depay que queremos ver no Corinthians.,Positivo,Corinthians
GOLAÇO DO BRENO BIDON PARA O CORINTHIANS!,Positivo,Corinthians
O Corinthians está entrando em um colapso Podcast Denílson Show Link para assistir,Neutro,Corinthians
A filha do Murillo acabou de nascer e já está vestida com roupas do Corinthians,Neutro,Corinthians
2 Corinthians 1210,Neutro,Corinthians
Torcida do Corinthians no Aeroporto de Guarulhos no embarque para o Japão para a disputa do Mundial em 2012. Nostálgico!,Positivo,Corinthians
"Whether therefore ye eat, or drink, or whatsoever ye do, do all to the glory of God. - 1 Corinthians 1031",Neutro,Corinthians
1 Corinthians 1557,Neutro,Corinthians
"Um Grêmio 3x0 Corinthians num domingo de manhã, em meados de 2016. Eu fui, eu tava.",Neutro,Corinthians
Corinthians x Vasco na final do Mundial em 2000.,Neutro,Corinthians
mas tem que se odiar muito pra assistir um grêmio x corinthians as 20h de uma quinta feira dia dos namorados,Negativo,Corinthians
A Neo química Arena toda falando vai Corinthians ao invés de vai Brasil,Neutro,Corinthians
Osmar Stabile fala sobre estar na presidência do Corinthians e pede apoio em prol do clube. Apoio Jogue com responsabilidade 18,Neutro,Corinthians
Emiliano Diaz é um cara foda. Espero que um dia ele volte pro Corinthians.,Positivo,Corinthians
O catado do Abel já perdeu pro pior Boca Jrs da história. Já perdeu pro pior Corinthians dos últimos anos. Pro pior São Paulo... Não há otimismo.,Negativo,Corinthians
1 Corinthians 11.,Neutro,Corinthians
"VAI CORINTHIANS! De acordo com o site Feature First, o nome de produção do filme do Cara de Barro será Corinthians.",Neutro,Corinthians
"Preparação encerrada para enfrentar o Internacional, amanhã, pelo Campeonato Brasileiro Feminino. VaiCorinthians",Neutro,Corinthians
"2 Corinthians 129 states that Gods grace is sufficient for the believer and that His power is made perfect in weakness. Paul, in this verse, expresses his willingness to boast in his weaknesses so that the power of Christ may rest upon him.",Positivo,Corinthians
"2 Corinthians 44 In whom the god of this world hath blinded the minds of them which believe not, lest the light of the glorious gospel of Christ, who is the image of God, should shine unto them. These are lost souls desperately in need of Gods Word",Neutro,Corinthians
Coluna de Algumas lições que puderam ser notadas neste curto período de tempo sob o comando de Dorival Júnior. Leia,Neutro,Corinthians
"The natural person does not accept the things of the Spirit of God, for they are folly to him, and he is not able to understand them because they are spiritually discerned. -2 Corinthians 214",Neutro,Corinthians
Corinthians vai anunciar um pacote de reforços em breve eu já sabendo da possibilidade de ser 55 atacantes enquanto nossa zaga tá em estado de decomposição,Neutro,Corinthians
Osmar Stabile conversa com torcedor sobre resolver os problemas do Corinthians e bate no peito após pedir gestão com responsabilidade. Apoio Jogue com responsabilidade 18,Neutro,Corinthians
Presidente em exercício do Corinthians diz que não pode esperar 60 dias para tomar decisões Corinthians Futebol Protesto,Neutro,Corinthians
um gol do corinthians que quase ninguém lembra mas eu tenho um grande carinho,Positivo,Corinthians
"In the name of our Lord Jesus Christ, when ye are gathered together, and my spirit, with the power of our Lord Jesus Christ, 1 Corinthians 54",Neutro,Corinthians
"And no wonder, for even Satan disguises himself as an angel of light. -2 Corinthians 1114",Neutro,Corinthians
"Seleção vence o Paraguai e confirma classificação para a CopaDoMundo! Enquanto isso, parte da torcida briga por lugares marcados na arquibancada. VAI, BRASIL! O torcedor brasileiro está unido por você! identidadecorinthiana brasil BRAxPAR Corinthians",Positivo,Corinthians
GOLAÇO DE BRENO BIDON! GRÊMIO 1-1 CORINTHIANS!,Positivo,Corinthians
Quais serão as notícias sobre o Corinthians durante essa pausa de um mês?,Neutro,Corinthians
"1 Corinthians 321 All things are yours, but you have the responsibility of making them yours. -RPN RPN APeopleCome",Neutro,Corinthians
O MATHEUZINHO É RAÇA DEMAIS! Se liga na bola que o lateral do Corinthians foi buscar! Brasileirão2025,Positivo,Corinthians
"Therefore if any man be in Christ, he is a new creature old things are passed away behold, all things are become new. - 2 Corinthians 517",Neutro,Corinthians
"Tevez mostrando como se deve bater um pênalti e tirando uma chupeta do saco e colocando na boca, e por fim, o Corinthians vencendo o atlético em Minas mais um vez.",Positivo,Corinthians
"TEM EMPATE AÍ! GOOOOOL! É DO CORINTHIANS! BRENO BIDON! Tudo igual na Arena do Grêmio! Um belíssimo tapa de Bidon, de fora da área! Ele teve tempo de dominar e ajeitar pra mandar a pedrada! Baita jogo, tá? BrasileiraoNoPremiere",Positivo,Corinthians
"fodase o seu relacionamento, hoje tem corinthians",Neutro,Corinthians
"Fecha as pernas aí, meu garoto! Que caneta do Caipira, do Corinthians, em Rayan Lucas, do Flamengo.",Positivo,Corinthians
O dia em que o Zico madrugou e torceu pro Corinthians ser campeão da libertadores.,Neutro,Corinthians
"Presidente interino do Corinthians fala sobre possíveis contratações. A gente já está conversando com o financeiro. Não vou fazer nada que o financeiro diga para mim que não possa ser feito ... O que eu quero falar para vocês é o seguinte o Corinthians, evidentemente,",Neutro,Corinthians
"PAUSA! O Corinthians fecha a pausa da temporada em 10º lugar no Brasileirão, com 16 pontos em 12 jogos. Dá pra sonhar com mais na volta?",Neutro,Corinthians
GOOOOOOOL! Martin Braithwaite Grêmio 1 X 0 Corinthians,Neutro,Corinthians
"A Polícia Civil de São Paulo identificou depósitos incomuns na conta do presidente afastado do Corinthians, Augusto Melo. Em quatro meses, ele teria recebido mais de R 152 mil em espécie. tem os detalhes. Assista ao Estúdioi",Neutro,Corinthians
"Um dos líderes da Gaviões da Fiel, torcida organizada do Corinthians, cobrou o lateral Matheusinho por ter retrucado as críticas de um torcedor no último jogo na Neo Química Arena. Tem que escutar a crítica e ficar quieto.",Negativo,Corinthians
"Aprovado por Carlo Ancelotti! O treinador da Seleção Brasileira avaliou a estrutura do CT Dr. Joaquim Grava, que a CBF teve para sua preparação, e também opinou sobre as condições da Casa do Povo. NeoQuimicaArena VaiCorinthians",Neutro,Corinthians
"1 Corinthians 1111 Nevertheless neither is the man without the woman, neither the woman without the man, in the Lord.",Neutro,Corinthians
"1 Corinthians 13 4 Love suffers long and is kind love does not envy love does not parade itself, is not puffed up 5 does not behave rudely, does not seek its own, is not provoked, thinks no evil 6 does not rejoice in iniquity, but rejoices in the truth 7 bears all things,",Neutro,Corinthians
ele é meu pai e pai do Corinthians coisa linda,Positivo,Corinthians
Hoje tem Corinthians,Positivo,Corinthians
Ronaldo returning to Brazil to finish his career at Corinthians and doing things like this,Neutro,Corinthians
"Garro, após Grêmio 1 x 1 Corinthians Fizemos um jogo bom, controlamos, mas numa falta de concentração a gente tomou um gol.",Neutro,Corinthians
Da o nesse golaço da Vic. AsBrabas VaiCorinthians,Positivo,Corinthians
"12 dias parado treinando e parece que não muda nada, nós vamos cair e a culpa é dessa bagunça que é o Corinthians, que aposta nessa comissão ridicula que não tem o minimo de capacidade pra comandar um time como esse",Negativo,Corinthians
QUINTA-FEIRA NÃO CHEGA NUNCA! Parece que o tempo não passa sem jogo do Tricolor. Contamos contigo no duelo com o Corinthians! Ingresso em,Neutro,Corinthians
Torcedor Vini vem pro Corinthians. Vini Jr. Aí não dá.,Negativo,Corinthians
O time de Portugal vendo a mulekada da Espanha amassando a França como se fosse um interclasse,Positivo,Corinthians
"Fala, Hugo Souza 1! Nosso paredão já chegou após sua convocação e, a classificação de ontem pra Copa do Mundo na Neo Química Arena! VaiCorinthians",Neutro,Corinthians
"KKKKKKKKKK mas o Flamengo é a maior torcida do Brasil sim rapaziada, confia não existe isso de terceirizada",Positivo,Corinthians
"Oito anos atrás, em jogo contra o Cruzeiro pelo Brasileirão 2017, o Corinthians venceu a equipe mineira pelo placar de 1 a 0. O gol corinthiano foi marcado por Balbuena, que subiu mais alto que todos após escanteio cobrado por Jadson. NeoQuimicaArena",Neutro,Corinthians
Arena do Grêmio Vamos para a 12ª rodada do Brasileirão 2025! Jogaremos a partida de número 103 contra o Grêmio nesta noite. Gustavo Vasco Corinthians GRExSCCP VaiCorinthians,Neutro,Corinthians
Imagina se EU processasse o Corinthians para voltar ao poder?? Uma quadrilha de Golpistas e Pinóquios!! Um exército de Pinóquios!! Eu avisei,Negativo,Corinthians
Corinthians x Flamengo na Libertadores 2010.,Neutro,Corinthians
Todo Corinthiano deveria ficar sócio do Clube do Corinthians. Dessa forma poderá colaborar pra mudar a situação deprimente que vivemos hoje. A instituição é refém da maioria de sócios que não quer perder privilégios e benefícios. Precisamos de novas pessoas que querem mudanças.,Neutro,Corinthians
O Claudinho e Buchecha se apresentando no programa da Furacão 2000 com a camisa mais bonita da história do Corinthians.,Positivo,Corinthians
"Líder da Gaviões da Fiel, principal organizada do Corinthians, manda recado para Matheuzinho após discussão com torcedor na Neo Química Arena Deu sorte que foi no Setor Oeste. Se fosse a gente, você ia ver.",Neutro,Corinthians
Você acha que o Corinthians fez um bom jogo contra o Grêmio apesar do empate? Pós-Jogo do Meu Timão Apoio Jogue com responsabilidade 18,Neutro,Corinthians
Tem que ser muito pequeno pra perder do Vasco em casa,Negativo,Corinthians
"Em meio a protesto dos associados do Corinthians no Parque São Jorge, Romeu Tuma Jr. e Osmar Stabile conversaram com torcedores sobre a reforma do estatuto e o voto do Fiel Torcedor. Apoio - Jogue com responsabilidade 18",Neutro,Corinthians
"O anticorinthianismo é uma epidemia eterna, incurável, que mistura ódio, ojeriza, injúrias, preconceito de classe e até racismo. O objetivo do anticorinthiano é tratar o corinthiano, ou o jogador do Corinthians, como ser de menor relevância e valor. É disso que se trata...",Negativo,Corinthians
"O Vasco sondou a situação do atacante Helinho, do Toluca. Além do cruzmaltino, Corinthians e São Paulo também demonstraram interesse no jogador. Os clubes buscam um empréstimo com opção de compra, já que o atleta perdeu um pouco de espaço no time mexicano.",Neutro,Corinthians
Sonham em ser Corinthians KKKKKKKKKKKKKKKKKKKKKK,Neutro,Corinthians
O CORINTHIANS EM VOOS MAIS ALTOS? O Garro garantiu que está com a cabeça no Timão e que quer brigar por títulos! Brasileirão2025,Neutro,Corinthians
"Eu vi esse jogar com a camisa do Corinthians, sabe. Eu estava no estádio. Eu vivi isso!",Positivo,Corinthians
Histórico! O maior artilheiro da história da Holanda veste a do Corinthians! VaiCorinthians,Positivo,Corinthians
Rodrigo Garro tentando dar caneta em André Ramalho no treino do Corinthians Meu Timão Apoio - Jogue com responsabilidade 18,Neutro,Corinthians
"Rapaziada, tava trocando ideia com o Phill aqui e ele disse que é FAKE a vinda dele pra ser CEO do corinthians.",Neutro,Corinthians
Yuri Alberto diz que fica no Corinthians e volta a jogar em Julho.,Neutro,Corinthians
"Você conhece o Kauê Furquim, joia da base do Corinthians? Meu Timão",Neutro,Corinthians
1 Corinthians 1614,Neutro,Corinthians
Lucas Piccinato fala sobre as críticas da torcida corinthiana e relembra passagem de Arthur Elias pelo time feminino do Corinthians. Meu Timão Apoio Jogue com responsabilidade 18,Neutro,Corinthians
1 MÊS SEM CORINTHIANS,Negativo,Corinthians
"Behold, I tell you a mystery We shall not all sleep, but we shall all be changed, in a moment, in the twinkling of an eye, at the last trumpet. For the trumpet will sound, and the dead will be raised incorruptible, and we shall be changed. 1 Corinthians 1551,52 All",Neutro,Corinthians
O que vcs acharam do 1 tempo do Corinthians???,Neutro,Corinthians
"Rise and Shine! Good Morning! Happy Saturday! Continue to pray for our President and our country. Dont get distracted and lets be unitedhave faith! For we live by faith, not by sight. 2 Corinthians 57",Neutro,Corinthians
"PHOTO One of the most iconic photographs in football history. Corinthians, Brasil",Positivo,Corinthians
,Neutro,Corinthians
"As negociações entre Igor Vinicius e Corinthians esfriaram nos últimos dias, devido a reação negativa da torcida rival com a operação.",Negativo,Corinthians
"Acho que essa é a curiosidade mais absurda que eu já vi de um jogador do Corinthians. Marcelinho Carioca, em 1994 33 gols 46 assistências Sim, ele fez incríveis 79 GA em uma temporada - SETENTA E NOVE GOLS E ASSISTÊNCIAS. Números de Messi e CR7, genial demais po!",Positivo,Corinthians
E o Corinthians segue sendo o ÚNICO clube do Brasil punido com a perda um mando de campo. Partida essa que seria arrecadado quase R 3 milhões media do clube como mandante. O time da Leila tomou uma multa de R 240 mil. PIADA!,Negativo,Corinthians
"O DORIVAL TÁ GOSTANDO DO DESEMPENHO DO CORINTHIANS! O professor acha que, apesar dos últimos resultados, o Timão tem tido um bom desempenho nos jogos! Brasileirão2025",Positivo,Corinthians
1 Corinthians 1613,Neutro,Corinthians
o grêmio é horrível e o corinthians consegue ser pior q eles é inacreditável,Negativo,Corinthians
O CORINTHIANS SE DEU MAL NO SORTEIO DA COPA DO BRASIL?! Vai rolar Derby Paulista nas oitavas de final e a nossa deu sua opinião!! CopaDoBrasil2025,Neutro,Corinthians
Pov quando você percebe que está a 1 semana sem ver jogo do Corinthians e desbloqueia o poder absoluto da mente,Neutro,Corinthians
GOL DO CORINTHIANS ! Breno Bidon Grêmio 1x1 Corinthians Brasileirão2025 GRExSCCP,Neutro,Corinthians
Osmar Stabile responde sobre a possibilidade do Corinthians contratar reforços nessa janela. Apoio Jogue com responsabilidade 18,Neutro,Corinthians
Corinthians já levou mais de 40 mil torcedores como visitante na temporada em competições nacionais e estaduais.,Neutro,Corinthians
E esse encontro aqui no final do primeiro tempo Agência IDC Corinthians Brasil,Neutro,Corinthians
MATHEUZINHO FOI COBRAR O CORNETA NO FIM DO JOGO! O lateral do Corinthians contou o que foi falar ao final da partida! Brasileirão2025,Neutro,Corinthians
"1 Corinthians 1-5 Paul called to be an apostle of Jesus Christ through the will of God, and Sosthenes our brother, Unto the church of God which is at Corinth, to them that are sanctified in Christ Jesus, called to be saints, with all that in every place call upon the name of",Neutro,Corinthians
"2 Corinthians 1 3 Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort, 4 who comforts us in all our tribulation, that we may be able to comfort those who are in any trouble, with the comfort with which we ourselves are comforted",Neutro,Corinthians
Breno Bidon marcou um GOLAÇO para empatar o placar para o Corinthians Vinicius Brito Meu Timão Apoio Jogue com responsabilidade 18,Positivo,Corinthians
Mais um golaço! Breno Bidon empata para o Corinthians diante do Grêmio!,Positivo,Corinthians
tão deixando a gente sonhar..,Neutro,Corinthians
Hugo Souza falando sobre o Corinthians e seleção brasileira,Neutro,Corinthians
"For as in Adam all die, even so in Christ shall all be made alive. 1 Corinthians 1522 KJV",Neutro,Corinthians
Repito Corinthians é um projeto mal sucedido do Flamengo Tudo que vêm deles é de um lugar de inveja e desejo de ser.,Negativo,Corinthians
"AUTÓGRAFO ESPECIAL! Esse é pra guardar com carinho, hein?! Antes de ir para o treino da Seleção, Marquinhos atendeu alguns fãs e deixou um autógrafo na camisa do Corinthians, clube onde foi revelado.",Positivo,Corinthians
Carillo Prime é coisa de maluco. Espero que meu mano Dorival tenha assistido os últimos 9 jogos do Corinthians no Brasileirão 2024.,Neutro,Corinthians
GOLAÇOOOOOO DO BRENO BIDON! GRÊMIO 1-1 CORINTHIANS!,Positivo,Corinthians
"Augusto Melo, presidente afastado do Corinthians, afirma que tinha um acordo encaminhado com o Mercado Livre para os naming rights do CT Joaquim Grava. Podcast Denílson Show",Neutro,Corinthians
"De saída do São Paulo, Igor Vinícius deve reforçar Corinthians a pedido de Dorival FutebolNaESPN",Neutro,Corinthians
Vai BrCorinthians!,Positivo,Corinthians
O São Paulo tem elenco pior que Mirassol? Vasco? Juventude? Santos? Fortaleza? Corinthians? Grêmio? Bragantino? Ceará? Vitoria? Sport? Inter? Galo? Cruzeiro? Flu? Admite que o treinador é uma merda. São Paulo tem elenco pra brigar lá em cima.,Negativo,Corinthians
Osmar Stabile fala sobre ter colocado nomes de gestões anteriores em cargos da atual gestão do Corinthians. Meu Timão Apoio Jogue com responsabilidade 18,Neutro,Corinthians
"Elogie o Mano Menezes contra o Juventude mas hoje eu posso descer o PAU sem dó, ok? SE ACADELOU PARA OS RESERVAS DO CORINTHIANS. Futebol mais feio do que bater em mãe. Jogou como time pequeno dentro da Arena. VAI TOMAR NO CU",Negativo,Corinthians
"Seis atletas das categorias de base do Corinthians estiveram completando o treinamento da equipe principal na manhã desta sexta-feira. São eles o zagueiro Guilherme Gama 17 anos, os volantes Luiz Gustavo Bahia 19 anos e Yago Gonçalves 19 anos, o meia Dieguinho 17 anos e",Neutro,Corinthians
Eu pra ver minha mina hoje no dia dos namorados eu indo assistir o Corinthians perder pro Grêmio,Neutro,Corinthians
"Quando o Flamengo saiu da crise financeira, devia quase 5 por 1. O Corinthians deve 2 por 1. Então, é muito mais fácil. E o poder de reação e movimentação do Corinthians é muito maior do que qualquer outro clube. Augusto Melo.",Positivo,Corinthians
giannis mandando um vai Corinthians,Positivo,Corinthians
"quando cê tá no meio do mato, mas hoje é dia de Corinthians",Neutro,Corinthians
UM MÊS SEM CORINTHIANS,Negativo,Corinthians
O QUE EU FIZ DE ERRADO? EU COLOQUEI O CORINTHIANS NOS TRILHOS Augusto Melo destacou que foi o presidente que mais trouxe dinheiro para um clube na América Latina...,Neutro,Corinthians
Tiago Volpi presenteando todo time que joga contra tomando um golaço na partida,Positivo,Corinthians
KKKKKKKKKKKK OLHA OS DESENHOS DA RAPAZIADA NO GARTIC MELHORES MOMENTOS VEM COMIGO,Neutro,Corinthians
gente pqp não sei oq respondo,Negativo,Corinthians
"O Athletico Paranaense está de olho no atacante Pedro Henrique, um dos destaques do Ceará nesta temporada. Segundo o jornalista Lucas Catrib, o clube tentou a contratação com compensação financeira, mas o Ceará recusou. Pedro Henrique, que chegou do Corinthians,",Neutro,Corinthians
Osmar Stabile revela ter conversa marcada com patrocinadores para falar sobre as mudanças de dentro do Corinthians. Meu Timão Apoio Jogue com responsabilidade 18,Neutro,Corinthians
"Que partida e que golaço, Breno Bidon! 27 Rodrigo Coca Corinthians VaiCorinthians",Positivo,Corinthians
"Gabriel Magalhães, zagueiro do Arsenal e da Seleção Brasileira, revela seu desejo de atuar pelo Corinthians.",Neutro,Corinthians
Fim do primeiro tempo Grêmio 1x1 Corinthians GRExCOR Brasileirão2025,Neutro,Corinthians
Emiliano Díaz revela seu sonho de retornar ao Corinthians e afirma que um dia seu desejo irá se realizar. Andreoli Modo ON,Neutro,Corinthians
O técnico Mano Menezes relacionou o jovem Gabriel Mec para o jogo contra o Corinthians.,Neutro,Corinthians
"Reforço nas Gurias Coloradas. O Internacional anunciou a chegada de Mônica Bittencourt, lateral-direita de 29 anos. Natural de Catanduva SP, Mônica já defendeu Palmeiras, Ferroviária, SC Huelva, Corinthians, São Paulo e América-MG.",Neutro,Corinthians
Você acha que o Coronado não ter entrado nos últimos jogos do Brasileirão pode indicar uma possível saída do meia do Corinthians? Papo com Vessoni Meu Timão Apoio - Jogue com responsabilidade 18,Neutro,Corinthians
NO BRASIL HÁ UMA TOLERÂNCIA ABSURDA OU NÃO ACONTECE NADA - pontua negociações de clubes brasileiros e tolerâncias de dívidas. Almada Botafogo Corinthians,Negativo,Corinthians
"Hoje, Igor Vinicius está mais perto do Fortaleza que do Corinthians. As conversas com o clube da capital paulista estagnaram.",Neutro,Corinthians
Qual o sentido do Depay não conseguir jogar no Corinthians e na seleção todo jogo faz gol?,Negativo,Corinthians
"Com esse golaço de Vic Albuquerque, o Corinthians vence o Flamengo por 1 a 0, pelo Brasileirão Feminino.",Neutro,Corinthians
Torcer pro Corinthians e Brasil é sofrer em dose dupla....,Negativo,Corinthians
"O primeiro gol do Sylvinho com a camisa do Corinthians. Um baita lateral, hoje seria titular absoluto na seleção.",Positivo,Corinthians
"É inevitável que o Grêmio melhorou de um mes pra cá. Ganhou bem do Juventude, ganha do Bahia e agora deixa escapar uma importante vitória contra o Corinthians. Pavón é tenebroso. Isso já sabemos e a torcida quer a sua saída, nem que seja o afastamento. Agora é trabalhar na",Negativo,Corinthians
2 Corinthians 105,Neutro,Corinthians
"Vcs acham qual dos principais time tem mais chance de ficar de FORA da EWC? LOS, LOUD, Team Solid ou Pain? E dos azarões quem tem mais chances de ir pro mundial? E1, Alfa 34, Alpha7, Corinthians, Flamengo, Corinthians ou Vasco?",Neutro,Corinthians
"TUDO IGUAL! O Corinthians empata com o Grêmio, fora de casa, com golaço de Breno Bidon em duelo válido pelo Brasileirão",Neutro,Corinthians
"A NOVA VIDA DE AUGUSTO MELO APÓS SAIR DO CORINTHIANS! Hoje, ele toma conta de estacionamento e de uma quadra Em 14 dias, tudo virou de cabeça para baixo Ele conta tudo, mesmo, sobre o que viveu no Corinthians Um dia com Augusto Melo Não deixem de ver!",Neutro,Corinthians
Alysson Corinthians,Neutro,Corinthians
"PARTIU COPA! Com gol de Vini Jr, o Brasil venceu o Paraguai por 1x0 na Arena Corinthians e garantiu sua vaga na Copa do Mundo de 2026! EM BUSCA DO HEXA!",Neutro,Corinthians
ANCELOTTI PRESENTE E BEM RECEBIDO NA NEO QUÍMICA ARENA! O técnico da Seleção Brasileira está na zona leste de São Paulo para ver Corinthians x Vitória! Brasileirão2025,Neutro,Corinthians
"Não tem jeito... a Neo Química Arena virou a referência da cidade de São Paulo para grandes eventos esportivos. NFL, Copa do Mundo, Eliminatórias, etc... ... estádio f... demais! O mais f... do país!!! Corinthians",Positivo,Corinthians
"Com todo respeito a comunidade LGBTQIA Mas que estádio bonito do cacete cara, não tem estádio mais bonito no Brasil sem clubismo nenhum",Positivo,Corinthians
"Obrigado Giannis, mas o Corinthians não precisa de centro-avante. Já temos o Yuri Alberto",Neutro,Corinthians
"QUASE O GARRO DÁ A VITÓRIA PARA O CORINTHIANS! O maestro da Fiel cobrou a falta, mas o goleiro Arcanjo salvou! Brasileirão2025",Positivo,Corinthians
"Serginho, integrante da Torcida Organizada Gaviões da Fiel, do Corinthians sobre a discussão de Matheuzinho com torcedor. Matheuzinho, você não tá com nada. Tem que sair lá quietinho, porque não tá jogando nada. Tem que escutar mesmo. Você deu sorte que foi eles torcedor",Negativo,Corinthians
Grêmio 1x1 Corinthians - Brasileirão 2025,Neutro,Corinthians
Corinthians é tão foda que tanto primeiro escudo quanto o atual são bonitos.,Positivo,Corinthians
Pessoal do Corinthians leva a sério a rivalidade. Olha a cadeira que deram pro Estevão na Neo Química Arena. kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,Neutro,Corinthians
"Gabi Nunes e Tarciane, ex-jogadoras do Corinthians, acompanharam a vitória do Timão sobre o Flamengo Meu Timão Apoio Jogue com responsabilidade 18",Neutro,Corinthians
Hoje é aniversário do Lucca. Nosso MadeInCotia completa 18 anos! Parabéns! VamosSãoPaulo,Positivo,São Paulo FC
"Toda vez que o São Paulo vive um momento complicado, surgem notícias de bastidores de insatisfação com Belmonte. Mas ele continua firme e forte. Já estamos há 5 anos nisso.",Neutro,São Paulo FC
Morumbi é nosso salão de festas. Trikas nanico 5 FORÇA DE SÃO PAULO KAKAKKAAKAKKSKSKKSK,Neutro,São Paulo FC
No returno em são Januário,Neutro,São Paulo FC
Ídolo de vocês. O porco. Praga histórica do São Paulo FC.,Positivo,São Paulo FC
"Se Zubeldía fosse brasileiro, já teria sido demitido do São Paulo, fã de esporte? FutebolNaESPN Zubeldia SaoPaulo SaoPauloFC",Neutro,São Paulo FC
"Baby, líder da Torcida Independente, a principal organizada do São Paulo FC, via Instagram",Neutro,São Paulo FC
irã israel chuva de misseis morumbis terceira guerra mundial,Neutro,São Paulo FC
Vai ajudar muito vocês,Positivo,São Paulo FC
Marcos Antonio faz aniversário nesta sexta-feira. O meio-campista do tricolor completa 25 anos. Felicidades! VamosSãoPaulo,Positivo,São Paulo FC
Selfie da nossa artilheira CriveGOL! FutebolFemininoTricolor VamosSãoPaulo,Neutro,São Paulo FC
"Disseram que seria a terceira opção do time... Chegou um momento que virou a segunda opção após a lesão do Calleri, não foi utilizado. Chegou Dinenno, virou terceira opção novamente. Já tem 3 Gols no profissional, entrando só em furada.",Neutro,São Paulo FC
São Paulo FC - Cedric Soares ball,Neutro,São Paulo FC
Fim de jogo SPFCxVAS 1-3 Ryan,Neutro,São Paulo FC
Pronto agora sim,Positivo,São Paulo FC
Eu rezando pra Israel,Neutro,São Paulo FC
"O Casares não tem coragem de tirar Belmonte do cargo. Essa cobrança deveria ser feita diariamente em cima do presidente, pois é ele quem decide! A continuidade do Belmonte na diretoria de futebol do SPFC, diz muita coisa sobre a política do clube!",Neutro,São Paulo FC
,Neutro,São Paulo FC
A novidade da noite! VamosSãoPaulo Rubens Chiri São Paulo FC,Neutro,São Paulo FC
Pode colocar o Pep Guardiola nesse time do que não dá jeito . A culpa é dos Senhores Júlio Casares e Belmonte Vergonha,Negativo,São Paulo FC
Simplesmente Juan Dinenno.,Positivo,São Paulo FC
"VITÓRIA DO VASCO! O ganha do , no Morumbis, pelo placar de 1x3, em partida válida pela 12ª rodada do Brasileirão! Matheus Lima",Neutro,São Paulo FC
,Neutro,São Paulo FC
